* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of EQ Strong L, EQ Strong L, EQ Strong L
* Dated: 2023. 10. 26 ¿ÀÈÄ 8:40:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of EQ Strong L, EQ Strong L, EQ Strong L
* Measurement: EQ Powerful L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
8250.000000	105.181
8380.000000	105.039
8500.000000	104.757
8620.000000	104.357
8750.000000	103.825
8850.000000	103.368
9000.000000	102.644
9120.000000	102.053
9250.000000	101.417
9380.000000	100.801
9500.000000	100.257
9620.000000	99.741
9750.000000	99.209
9880.000000	98.704
10000.000000	98.263
10150.000000	97.748
10300.000000	97.269
10440.000000	96.850
10600.000000	96.408
10750.000000	96.033
10900.000000	95.705
11060.000000	95.425
11200.000000	95.246
11380.000000	95.083
11500.000000	94.994
11720.000000	94.847
11800.000000	94.801
12060.000000	94.693
12200.000000	94.664
12410.000000	94.648
12500.000000	94.657
12650.000000	94.703
12800.000000	94.799
13150.000000	95.293
13200.000000	95.398
13400.000000	95.907
13600.000000	96.580
13800.000000	97.446
14000.000000	98.539
14300.000000	100.759
14500.000000	102.758
14750.000000	105.641
15000.000000	107.737
15250.000000	107.701
15500.000000	105.537
15750.000000	102.513
16000.000000	99.800
16250.000000	97.799
16500.000000	96.386
16750.000000	95.360
17000.000000	94.615
17250.000000	94.091
17500.000000	93.747
17750.000000	93.566
18000.000000	93.548
18250.000000	93.667
18500.000000	93.824
18750.000000	93.918
19000.000000	93.827
19250.000000	93.333
19500.000000	92.269
19750.000000	90.721
